,Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls,description
280,Inner Spirit Holdings Ltd. 12% 30Jun2022,ISH.DB,Diversified Industries,Cannabis,,CAD,24-May-19,https://thecse.com/en/listings/diversified-industries/inner-spirit-holdings-ltd-12%-30jun2022,
281,InnoCan Pharma Corporation,INNO,Life Sciences,Cannabis,CSE Composite,CAD,25-Sep-19,https://thecse.com/en/listings/life-sciences/innocan-pharma-corporation,"The Corporation's business can be described as three distinct operating segments relating to the incorporation in products of CBD in their formulation: (i) research, development, marketing, distribution and sales of InnoCan-branded OTC pharmaceutical products; (ii) research and development of non-pharmaceutical products for third parties in exchange for fees and/or royalties; and (iii) research and development of hydrogels containing liposomes intended for licensing or sale to third party pharmaceutical corporations for manufacturing, distribution and sales."
282,Inspiration Mining Corporation,ISM,Mining,,,CAD,05-Feb-16,https://thecse.com/en/listings/mining/inspiration-mining-corporation,"
	Inspiration Mining Corp. is an exploration company with its major asset being its 100% owned Langmuir mineral lease. That property, which lies 25 km comprised of 69 mining claims covering 1121 hectares in the Langmuir Township, Ontario, has recently been converted into a full mining lease. It hosts the past nickel producing mines of Langmuir No. 1 and 2. The Company also owns the Desrosier Property which is an exploratory property targeting moly and rare earths, lies primarily in Desrosier township, the Cleaver Property lying in Cleaver and Fallow Townships, south of Timmins, and the recently acquired Carscallin Property which lies west of Timmins in the proximity of the presently operating Lakeshore gold mine."
283,Intellabridge Technology Corporation (formerly was NITE/Cryptanite Blockchain Technologies Corp. until 2019-10-23),INTL,Technology,Blockchain,,CAD,12-Mar-18,https://thecse.com/en/listings/technology/intellabridge-technology-corporation-(formerly-was-nite/cryptanite-blockchain-technologies-corp-until-2019-10-23),
284,International Battery Metals Ltd.,IBAT,Mining,,CSE Composite,CAD,17-Sep-15,https://thecse.com/en/listings/mining/international-battery-metals-ltd,International Battery Metals Ltd. is a Vancouver-based exploration company focused on the exploration and development of natural resource projects targeting metals used in the manufacturing of traditional and innovative batteries.
285,International Cobalt Corp,CO,Mining,,,CAD,03-May-16,https://thecse.com/en/listings/mining/international-cobalt-corp,
286,Ionic Brands Corp.,IONC,Life Sciences,US Cannabis,,CAD,02-Apr-19,https://thecse.com/en/listings/life-sciences/ionic-brands-corp,"Ionic Brands Corp. (formerly Zara Resources Inc), is a leading cannabis vape pen and cannabis cartridge producer and distributor in Washington State, Oregon, and now in California.  With its recent expansion into Oregon, Ionic Brands currently intends to build a leadership position in the growing cannabis concentrate segment."
287,Irving Resources Inc.,IRV,Mining,,CSE25,CAD,23-Dec-15,https://thecse.com/en/listings/mining/irving-resources-inc,"Irving Resources Inc. (Irving) is a Canadian-based mineral exploration company with interests in Japan. In 2016, Irving incorporated a wholly-owned subsidiary in Japan named, Irving Resources Japan GK which enables Irving to acquire and hold exploration and mining projects in Japan. Irving is focused on identifying high-silica, high-grade epithermal vein mineralization that could potentially be suitable for use as smelter flux in the operating base metals smelters across Japan. In addition, Irving holds a Project Venture Agreement with the Japan Oil, Gas and Metals National Corporation (JOGMEC)."
288,Isodiol International Inc.,ISOL,Diversified Industries,"US Cannabis, Blockchain",CSE Composite,CAD,23-Sep-15,https://thecse.com/en/listings/diversified-industries/isodiol-international-inc,"Isodiol International Inc. (""Isodiol"") is focused on the nutritional health benefits that are derived from hemp and is a product development, sales, marketing and distribution company of hemp-based consumer products and solutions."
289,Isracann Biosciences Inc.,IPOT,Life Sciences,Cannabis,CSE Composite,CAD,17-Oct-19,https://thecse.com/en/listings/life-sciences/isracann-biosciences-inc,"Isracann Biosciences Inc. is an Israeli-based company focused on becoming a premier cannabis producer offering low-cost production targeting undersupplied major European marketplaces. Based in Israel's agricultural sector, Isracann will leverage its development within the most experienced country in the world with respect to cannabis research."
290,Ivor Exploration Inc.,IVOR,Mining,,,CAD,30-Jun-20,https://thecse.com/en/listings/mining/ivor-exploration-inc,Ivor Exploration Inc. is a resource exploration issuer that acquires and explores mineral properties. Ivor's intentions are to explore and develop its principal property in British Columbia.
291,Izotropic Corporation,IZO,Life Sciences,,CSE Composite,CAD,04-Jun-18,https://thecse.com/en/listings/life-sciences/izotropic-corporation,"The Company is engaged in the commercialization of proprietary diagnostic products for breast cancer. Its business strategy is to complete the commercial development of 360 degree, true 3D breast imaging technology for early diagnosis of breast cancer. The Company holds a license under a license agreement to make, have made, use, offer for sale, import, and sell products and services and to practice processes and methods in the field of human diagnostics and therapeutics in the United States and any other countries where approvals are granted or where patent rights may exist in the future with respect to certain licensed patent rights."
292,James Bay Resources Limited,JBR,Oil and Gas,,,CAD,02-Sep-15,https://thecse.com/en/listings/oil-and-gas/james-bay-resources-limited,"
	James Bay Resources Limited is a Canadian junior oil company with a focus on acquisition and development of oil and gas opportunities in the prolific Delta region of Nigeria. Its first project, the Ogedeh field in OML 90, was originally discovered by Chevron in 1993. James Bay intends to re-enter and test the Ogedeh-1 well, and drill further prospects on the block. James Bay is actively involved in the sourcing of near-term production opportunities as the major IOCs are undergoing a significant strategic shift in Nigeria and are divesting their onshore businesses to focus their efforts on offshore deep water. James Bay’s intent is to partner with indigenous companies to acquire interests in onshore businesses and develop such divestitures."
293,JDF Explorations Inc.,JDF,Mining,,,CAD,03-Sep-15,https://thecse.com/en/listings/mining/jdf-explorations-inc,An exploration stage junior mining company
294,JNC Resources Inc.,JNC,Mining,,,CAD,14-Apr-20,https://thecse.com/en/listings/mining/jnc-resources-inc,"JNC Resources Inc. is a Canadian-based junior venture mining exploration company with a goal to develop under-explored properties and benefit from deal flow generated by strategic partnerships and growth opportunities. Currently the company is developing its 100% optioned Triple 9 Project in South Central British Columbia. The Triple 9 Project is a gold property with a new discovery of high levels of base metals, located 20 kilometres from the town of Sicamous. The area is a mining-friendly region within a short distance to numerous industrial-based cities with an eager work force and equipment and is a short drive from the company's home base in Vancouver."
295,Jushi Holdings Inc. Class B Subordinate Voting Shares,JUSH,Life Sciences,US Cannabis,CSE25,CAD,09-Dec-19,https://thecse.com/en/listings/life-sciences/jushi-holdings-inc-class-b-subordinate-voting-shares,"Jushi Holdings Inc. is a globally focused cannabis and hemp company led by an industry leading management team. In the United States Jushi is focused on building a multi-state portfolio of branded cannabis and hemp-derived assets through opportunistic acquisitions, distressed workouts and competitive applications. Jushi strives to maximize shareholder value while delivering high quality products across all levels of the cannabis and hemp ecosystem."
296,KABN Systems NA Holdings Corp.,KABN,Technology,,,CAD,10-Jun-20,https://thecse.com/en/listings/technology/kabn-systems-na-holdings-corp,"KABN Systems NA Holdings Corp. focuses on the verification, management and monetization of Digital Identity, empowering users to control and benefit from the use of their online identity. KABN propriety technology suite includes 4 key products – KABN ID, Liquid Avatar, KABN Card and KABN KASH.  KABN provides its products and services at no cost to consumers and generates revenues through permission-based partner programs."
297,Karam Minerals Inc.,KMI,Mining,,,CAD,25-Apr-19,https://thecse.com/en/listings/mining/karam-minerals-inc,"Karam Minerals Inc. is a resource exploration company focused on the acquisition, evaluation and exploration of mineral resource properties."
298,Koios Beverage Corp.,KBEV,Life Sciences,,CSE Composite,CAD,01-May-18,https://thecse.com/en/listings/life-sciences/koios-beverage-corp,The Company is engaged in the business of producing nutritional beverage drinks using a proprietary blend of nootropics and natural organic compounds to enhance human productivity without using harmful chemicals or stimulants.
299,Kontrol Energy Corp.,KNR,Technology,,CSE Composite,CAD,09-Aug-16,https://thecse.com/en/listings/technology/kontrol-energy-corp,"Kontrol Energy is a leader in the energy efficiency sector through IoT, Cloud and SaaS technology. With a disciplined mergers and acquisition strategy, combined with organic growth, Kontrol provides market-based energy solutions to our customers designed to reduce their overall cost of energy while providing a corresponding reduction in greenhouse gas (GHG) emissions."
300,Kootenay Zinc Corp.,ZNK,Mining,,,CAD,05-Oct-16,https://thecse.com/en/listings/mining/kootenay-zinc-corp,
301,KWG Resources Inc.,KWG,Mining,,CSE Composite,CAD,01-Sep-15,https://thecse.com/en/listings/mining/kwg-resources-inc,"
	KWG is an exploration stage company that is participating in the discovery, delineation and development of chromite deposits in the James Bay Lowlands of Northern Ontario, including 1,024 hectares covered by four unpatented mining claims approximately 280km north of Nakina, Ontario, which contains the Black Horse chromite deposit (the “Koper Lake Project”) and 1,241 hectares covered by seven unpatented mining claims approximately 280km north of Nakina, Ontario, which contains the Big Daddy chromite deposit (the “Big Daddy Project”). The Corporation has the right to acquire: (i) up to an 80% interest in respect of chromite contained in the Koper Lake Project; and (ii) up to a 20% interest in respect of the non-chromite minerals contained in the Koper Lake Project. The Corporation also has a 30% interest in the Big Daddy Project. Through the Corporation’s subsidiary, Canada Chrome Corporation (“CCC”), KWG has also staked mining claims in Northern Ontario with a view to the development and construction of a proposed railway from Nakina, Ontario to the Koper Lake Project and the Big Daddy Project as well as exploring for, delineating and developing aggregate and other minerals."
302,KWG Resources Inc. MVS,KWG.A,Mining,,,CAD,28-Apr-17,https://thecse.com/en/listings/mining/kwg-resources-inc-mvs,
303,La Imperial Resources Inc.,LAI,Mining,,,CAD,03-Sep-15,https://thecse.com/en/listings/mining/la-imperial-resources-inc,"La Imperial is a Canadian-based gold, silver and industrial metal exploration company, with a 70% interest in 132 square kilometers 51 sq.mi.) of mineral concessions in the Sierra Madre Occidental Gold & Silver Belt of northern Mexico, located in the State of Chihuahua. The Company's objective is to aggressively explore and develop the current mineral claims and acquire additional prospective properties."
304,Lanebury Growth Capital Ltd.,LLL,Diversified Industries,,,CAD,21-Nov-17,https://thecse.com/en/listings/diversified-industries/lanebury-growth-capital-ltd,"
	Lanebury Growth Capital Ltd. is an investment company targeting, in general, early stage technology businesses who have an entrepreneurial management team in place that have demonstrated leadership abilities with a clear strategic vision for the future. The invested capital will be in the $100,000 to $1,000,000 range and will represent a significant position giving Lanebury strong influence over corporate affairs. Lanebury will prefer that a proven monthly revenue model has been established that can be easily scaled up over a variety of software platforms used around the world.  In general, Lanebury will act like a technology incubator advisory group assisting management with their proven experience and available capital whereby forward objectives become aligned towards mutual success."
305,LeanLife Health Inc.,LLP,Diversified Industries,,,CAD,03-Dec-15,https://thecse.com/en/listings/diversified-industries/leanlife-health-inc,"
	LeanLife’s products are shelf-stable extractions from flaxseed, a plentiful plant-based source of Omega-3, that give them a significant advantage as a fortified food ingredient.  The products can be used as food additives or as nutraceuticals.  They have been used to make bread, noodles, cheese, yogurt, juice and milk products for the European market.  LeanLife Health’s industry leading and proprietary Omega-3 product formulations are of the highest quality and contain no cholesterol. Products are available in oil, emulsion and powder forms."
306,Leocor Ventures Inc,LECR,Mining,,CSE Composite,CAD,21-Jun-19,https://thecse.com/en/listings/mining/leocor-ventures-inc,"
	Leocor Ventures is involved in the acquisition and exploration of copper-gold porphyry mineral properties, with a focus on British Columbia, Canada."
307,Leviathan Natural Products Inc. (formerly was EPIC/Leviathan Cannabis Group Inc. until 2020-07-20),EPIC,Life Sciences,Cannabis,CSE Composite,CAD,23-Jan-18,https://thecse.com/en/listings/life-sciences/leviathan-natural-products-inc-(formerly-was-epic/leviathan-cannabis-group-inc-until-2020-07-20),
308,Lexaria Bioscience Corp.,LXX,Diversified Industries,US Cannabis,CSE Composite,CAD,01-Sep-15,https://thecse.com/en/listings/diversified-industries/lexaria-bioscience-corp,"Lexaria Bioscience Corp.'s proprietary drug delivery technology, DehydraTECH™, improves the way active pharmaceutical ingredients (APIs) enter the bloodstream by promoting healthier ingestion methods and increasing the effectiveness of fat-soluble active molecules, thereby lowering overall dosing. The Company’s technology can be applied to many different ingestible product formats, including foods, beverages, oral suspensions, tablets, and capsules. DehydraTECH increases bio-absorption by up to 5-10x, reduces time of onset from 1 - 2 hours to 10 - 20 minutes, and masks unwanted tastes for orally administered bioactive molecules, including anti-virals, cannabinoids, vitamins, non-steroidal anti-inflammatory drugs (NSAIDs), nicotine, and other molecules. Lexaria has licensed DehydraTECH to multiple companies including a world-leading tobacco producer for the development of smokeless, oral-based nicotine products and for use in industries that produce cannabinoid beverages, edibles, and oral products. Lexaria operates a licensed in-house research laboratory and holds a robust intellectual property portfolio with 16 patents granted and over 60 patents pending worldwide."
309,Liberty Health Sciences Inc.,LHS,Life Sciences,US Cannabis,CSE25,CAD,26-Jul-17,https://thecse.com/en/listings/life-sciences/liberty-health-sciences-inc,"Liberty Health Sciences Inc. is an investor and operator in the medical cannabis market, capitalizing on new and existing opportunities in the United States."
310,Lida Resources Inc. (formerly was LID/Lida Resources Inc. until 2020-06-03),LIDA,Mining,,,CAD,28-May-20,https://thecse.com/en/listings/mining/lida-resources-inc-(formerly-was-lid/lida-resources-inc-until-2020-06-03),
311,Lido Minerals Ltd.,LIDO,Mining,,,CAD,31-Jul-20,https://thecse.com/en/listings/mining/lido-minerals-ltd,"
	Lido Minerals is a Canadian based mineral exploration company, actively involved the exploration of the Nimpkish properties on Vancouver Island."
312,Link Global Technologies Inc.,LNK,Technology,Blockchain,CSE Composite,CAD,15-Nov-19,https://thecse.com/en/listings/technology/link-global-technologies-inc,"Link is engaged in the business of providing infrastructure and operating expertise for digital mining operations. Link’s objectives include locating and securing, for lease and option to purchase, properties with access to low-cost reliable power and deploying this low-cost power to conduct digital mining and supply energy and infrastructure for other data hosting services.  Link is headquartered in Vancouver, British Columbia and carries out operations in Boardman, Oregon, USA and Beaver Falls, British Columbia."
313,Lions Bay Mining Corp.,LBM,Mining,,CSE Composite,CAD,22-Nov-18,https://thecse.com/en/listings/mining/lions-bay-mining-corp,"
	Lions Bay Mining. is a precious metals exploration company focused on advancing key projects with significant exploration upside, good infrastructure and community support. With experienced management and a strong shareholder base, the Company is well positioned for stable development."
314,Litelink Technologies Inc.,LLT,Technology,Blockchain,CSE Composite,CAD,11-Jun-18,https://thecse.com/en/listings/technology/litelink-technologies-inc,"
Litelink Technologies Inc. is a major player in developing world-class enterprise platforms that utilize artificial intelligence, blockchain, and predictive analytics to solve fragmented and outdated technology problems in the logistics and digital payment industries. Our flagship 1SHIFT logistics platform offers real-time transparency and tracking which allows brokers, shippers, and carriers to track shipments and settle payments in real-time. uBUCK Pay is a multi-currency digital wallet that supports traditional fiat and digital currencies. Consumers are able to make online and offline purchases using the uBUCK debit card and send funds worldwide for free."
315,Lotus Ventures Inc.,J,Life Sciences,Cannabis,CSE Composite,CAD,02-Sep-15,https://thecse.com/en/listings/life-sciences/lotus-ventures-inc,
316,Luff Enterprises Ltd. (formerly was ASNT/Ascent Industries Corp. until 2020-05-19),LUFF,Life Sciences,US Cannabis,CSE Composite,CAD,09-Aug-18,https://thecse.com/en/listings/life-sciences/luff-enterprises-ltd-(formerly-was-asnt/ascent-industries-corp-until-2020-05-19),
317,Luxxfolio Holdings Inc.,LUXX,Technology,Blockchain,,CAD,06-May-19,https://thecse.com/en/listings/technology/luxxfolio-holdings-inc,"LUXXFOLIO Holdings Inc. is a financial technology company that is focused on the development of a permissioned based distributed ledger platform (the “Platform”) to enable an organization or individual to authenticate, secure, and track via a highly secure verifiable ledger their digital based assets, contracts and documents or physical based assets such as luxury or collector goods, and other unique products (“Uniquely Identified Assets” or “UIA”). The Platform aims to provide a secure and reliable place to authenticate and track UIA, and provide the ability to monetize or securitize these assets."
318,Mag One Products Inc.,MDD,Diversified Industries,,,CAD,02-Sep-15,https://thecse.com/en/listings/diversified-industries/mag-one-products-inc,"Mag One Products Inc (MOPI) is not an exploration company as its principal business is the development and commercialization of technologies for the processing and production of magnesium (Mg) metal, Mg-related compounds, by-products and co-products from already mined, above ground serpentinite tailings.  MOPI’s goal is to become the lowest cost producer of Mg metal in the world by producing Mg at a price equivalent to Aluminum.  Mag One’s potential is evidenced by the fact that it has received support from both the Federal and Provincial governments and is in the process of negotiating further support."
319,Major Precious Metals Corp. (formerly was EZNC/Eastern Zinc Corp. until 2020-06-19),SIZE,Mining,,CSE Composite,CAD,04-Sep-18,https://thecse.com/en/listings/mining/major-precious-metals-corp-(formerly-was-eznc/eastern-zinc-corp-until-2020-06-19),
320,Makara Mining Corp.,MAKA,Mining,,,CAD,04-May-20,https://thecse.com/en/listings/mining/makara-mining-corp,"The company is a mineral exploration company focused on the acquisition, exploration and development of gold properties. The company is based in Vancouver, BC."
321,Manning Ventures Inc.,MANN,Mining,,,CAD,25-Oct-19,https://thecse.com/en/listings/mining/manning-ventures-inc,"
	The Company is a mineral exploration Company and its principal business is the acquisition and exploration of mineral properties, with a focus on the Yukon Territory, Canada."
322,Marble Financial Inc. (formerly was MRBL/MLI Marble Lending Inc. until 2019-11-18),MRBL,Diversified Industries,,CSE Composite,CAD,21-Mar-19,https://thecse.com/en/listings/diversified-industries/marble-financial-inc-(formerly-was-mrbl/mli-marble-lending-inc-until-2019-11-18),
323,Mariner Resources Corp.,RNR,Mining,,,CAD,03-Jun-19,https://thecse.com/en/listings/mining/mariner-resources-corp,"
	Mariner Resources Corp. is a mineral exploration company focused on the exploration and development of the Silver Dollar Property, located within the Revelstoke Mining Division."
324,Marret High Yield Strategies Fund A,MHY.UN,Diversified Industries,,,CAD,28-Jun-16,https://thecse.com/en/listings/diversified-industries/marret-high-yield-strategies-fund-a,
325,Marret Multi-Strategy Income Fund A,MMF.UN,Diversified Industries,,,CAD,28-Jun-16,https://thecse.com/en/listings/diversified-industries/marret-multi-strategy-income-fund-a,
326,Matica Enterprises Inc.,MMJ,Life Sciences,Cannabis,CSE Composite,CAD,01-Sep-15,https://thecse.com/en/listings/life-sciences/matica-enterprises-inc,"
	MATICA ENTERPRISES INC. is a Canadian publicly traded company focused on the Canadian Cannabis sector. Matica’s RoyalMax Biotechnology Canada Inc. has been granted a cultivation licence from Health Canada and is currently growing cannabis on Montreal’s west island. Matica is also building a 200,000 square foot greenhouse in the township of Hemmingford, just south of Montreal. Matica is planning for 1,000,000 square feet of greenhouses and for 25 acres of outdoor growing of cannabis on the 181 acre Hemmingford property.  In addition to growing cannabis Matica is expanding into alternative cannabis delivery systems beginning with proprietary topicals creams using a mineral clay suspension technology which would provide a time released delivery. Recent developments in the regulation of cannabis have brought new opportunities to the Canadian marketplace and Matica will grow as the regulations unfold.  "
327,Maxtech Ventures Inc.,MVT,Diversified Industries,,CSE Composite,CAD,08-Sep-15,https://thecse.com/en/listings/diversified-industries/maxtech-ventures-inc,Maxtech Ventures is a diversified investment corporation.
328,McLaren Resources Inc.,MCL,Mining,,,CAD,20-Nov-15,https://thecse.com/en/listings/mining/mclaren-resources-inc,McLaren Resources Inc. is based in Toronto and is engaged in the gold exploration business. McLaren's experienced management team is exploring gold deposits from its operating base located in the Timmins Gold camp.
329,ME Resource Corp.,MEC,Mining,,,CAD,18-Sep-15,https://thecse.com/en/listings/mining/me-resource-corp,"
	ME Resource Corp. is a Canadian exploration company focused on the acquisition, exploration and development of resource properties. The Company's objective is to explore and develop its current assets and pursue additional acquisitions. The Corporation intends to acquire a portfolio of properties through project acquisitions, joint ventures and alliances. MEC is developing propriety micro-refinery technology that will process raw natural gas into Engineered FuelTM and Clean Power."
330,Media Central Corporation Inc,FLYY,Diversified Industries,,CSE Composite,CAD,28-Oct-19,https://thecse.com/en/listings/diversified-industries/media-central-corporation-inc,"Media Central Corporation Inc. is an independent and alternative media company situated to acquire and develop high-quality publishing assets, starting with the recent launch of CannCentral.com, a robust news, lifestyle and community cannabis platform curated for the human experience."
331,MedMen Enterprises Inc. Class B Subordinate Voting Shares,MMEN,Life Sciences,US Cannabis,CSE25,CAD,29-May-18,https://thecse.com/en/listings/life-sciences/medmen-enterprises-inc-class-b-subordinate-voting-shares,"MedMen Enterprises is a leading cannabis company in the U.S. with assets and operations across the country. Based in Los Angeles, MedMen brings expertise and capital to the cannabis industry and is one of the nation’s largest financial supporters of progressive marijuana laws."
332,MedMen Enterprises Inc. Wts.,MMEN.WT,Life Sciences,US Cannabis,,CAD,27-Sep-18,https://thecse.com/en/listings/life-sciences/medmen-enterprises-inc-wts,
333,MedXtractor Corp.,MXT,Life Sciences,Cannabis,,CAD,24-Oct-19,https://thecse.com/en/listings/life-sciences/medxtractor-corp,"The Corporation is a Calgary-based company that manufactures patented, proprietary small-scale carbon dioxide-based extractors that are used to extract essential oils and compounds from a variety of botanical materials. At present, the Corporation targets the ""Craft"" cannabis grower. Craft growers are those whose crop is up to 800 indoor-sized plants per crop cycle. In management's opinion, CO2 Extractors represent the state-of-the-art for high-potency, high-purity oils, one of the fastest growing segments of the overall cannabis market. Cannabis oils can be extracted from flowers (bud), trim (leaves) and/or post-pressed rosin ""chips"" (leftovers from hydraulic press extraction). The ongoing worldwide legalization of cannabis is underpinning the rapidly growing demand for cannabis products with major growth seen in oils due to their utility as feedstock for various ingestion methods. The Corporation owns the patents on its CO2 Extractors."
334,MegumaGold Corp,NSAU,Mining,,CSE Composite,CAD,19-Jan-18,https://thecse.com/en/listings/mining/megumagold-corp,"MegumaGold is a Canadian junior gold exploration company engaged in the business of acquiring, exploring and developing natural resource properties. During 2018, the Company has centered its exploration focus on the developing Meguma formation of Nova Scotia. As a result, the Company has assembled a strategically-positioned tenure of 180,754 hectares within the Meguma Gold District."
335,Meryllion Resources Corporation (formerly was MYR/Meryllion Resources Corporation until 2020-06-04),MYR.X,Mining,,,CAD,01-Sep-15,https://thecse.com/en/listings/mining/meryllion-resources-corporation-(formerly-was-myr/meryllion-resources-corporation-until-2020-06-04),
336,Metalo Manufacturing Inc.,MMI,Diversified Industries,,,CAD,17-Dec-15,https://thecse.com/en/listings/diversified-industries/metalo-manufacturing-inc,"<em>Metalo Manufacturing Inc. (MMI) is the largest shareholder in two advanced development assets where, collectively, more than $40 million has been invested in assessing and defining market solutions. One asset has a Bankable Feasibility Study and the other a Preliminary Economic Assessment.</em>"
337,Metamaterial Inc.,MMAT,Technology,,CSE Composite,CAD,09-Mar-20,https://thecse.com/en/listings/technology/metamaterial-inc,"META is changing the way we use, interact and benefit from light. META designs and manufactures advanced materials and performance functional films which are engineered at the nanoscale to control light and electromagnetic waves. META is currently developing new materials with diverse applications in the automotive, aerospace, consumer electronics and medical industries. META has a growing patent portfolio with three core technologies holographic, lithographic and wireless sensing, designed for high volume applications. META is headquartered in Halifax, Nova Scotia and has offices in London, UK and Pleasanton, California."
338,MGX Minerals Inc C Wts,XMG.WT.C,Mining,,,CAD,26-Oct-18,https://thecse.com/en/listings/mining/mgx-minerals-inc-c-wts,
339,MGX Minerals Inc.,XMG,Mining,,CSE Composite,CAD,02-Sep-15,https://thecse.com/en/listings/mining/mgx-minerals-inc,"MGX Minerals Inc. is a diversified Canadian mining company engaged in the development of large-scale industrial mineral portfolios in western Canada and the United States. The Company operates lithium, magnesium and silicon projects throughout British Columbia and Alberta as well as petro lithium exploration in Utah."
340,MGX Minerals Inc. B Wts.,XMG.WT.B,Mining,,,CAD,25-Jun-18,https://thecse.com/en/listings/mining/mgx-minerals-inc-b-wts,
341,Mich Resources Ltd (formerly was MICH/Michelin Mining Corp. until 2019-12-03),MICH,Mining,,CSE Composite,CAD,19-Jun-19,https://thecse.com/en/listings/mining/mich-resources-ltd-(formerly-was-mich/michelin-mining-corp-until-2019-12-03),
342,Micromem Technologies Inc.,MRM,Technology,,CSE Composite,CAD,02-Sep-15,https://thecse.com/en/listings/technology/micromem-technologies-inc,"MICROMEM TECHNOLOGIES INC. is a leader in Sensor Technology. Currently Micromem is focused on magnetic sensor applications through its wholly owned subsidiary, Micromem Applied Sensor Technologies, Inc. (MAST, Inc.)(www.mastinc.com). The core technology has a combination of superior sensitivity, robust structure, cost effectiveness and small size enabling a wide variety of applications within each industry sector, spanning Automotive, Oil & Gas and Utility companies. MAST, Inc. clients include Fortune 500 companies. Working with clients to solve unmet needs in their respective industries, Micromem has successfully delivered client approved prototypes. MAST, Inc. will now work directly with clients to move from approved prototype to production versions of patented solutions. Micromem holds a broad-based patent portfolio with patents claiming priority in the field going back to 1995."
343,Micron Waste Technologies Inc,MWM,Technology,Cannabis,,CAD,26-Oct-17,https://thecse.com/en/listings/technology/micron-waste-technologies-inc,"Micron Waste Technologies Inc. is a leading organic waste technology company based in Canada. Micron Waste has developed and commercialized an on-site treatment system that can turn organic waste into clean water. Their research & development team has already produced solutions to handle organic waste generated by food distributors, quick service restaurants, and marijuana cultivators."
344,Minera IRL Limited,MIRL,Mining,,CSE Composite,CAD,03-Feb-17,https://thecse.com/en/listings/mining/minera-irl-limited,
345,Miramont Resources Corp.,MONT,Mining,,CSE Composite,CAD,27-Mar-17,https://thecse.com/en/listings/mining/miramont-resources-corp, 
346,Mistango River Resources Inc.,MIS,Mining,,CSE Composite,CAD,02-Sep-15,https://thecse.com/en/listings/mining/mistango-river-resources-inc,Mistango River Resources Inc. is a Kirkland Lake based resources exploration company focussing on increasing shareholder value by exploring and development of precious metals and VMS hosted base metals with precious metals content. The company holds several properties in Ontario and Quebec and is presently focussing on the Omega and Sackville properties in Ontario.
347,"MJardin Group, Inc.",MJAR,Life Sciences,US Cannabis,CSE Composite,CAD,15-Nov-18,"https://thecse.com/en/listings/life-sciences/mjardin-group,-inc",
348,Modern Meat Inc.,MEAT,Diversified Industries,,,CAD,30-Jun-20,https://thecse.com/en/listings/diversified-industries/modern-meat-inc,"Modern Meat is a plant-based meat alternative company based in Vancouver, British Columbia. The Company develops a portfolio of nutritious, gourmet vegan food crafted from natural ingredients. All products are chef curated with proprietary recipes that are free of soy, gluten, nuts and gmo’s.  Modern Meat’s mission is to change the way food is produced and consumed for the benefit of people, animals and the environment."
349,Mojave Jane Brands Inc.,JANE,Life Sciences,Cannabis,,CAD,15-Sep-17,https://thecse.com/en/listings/life-sciences/mojave-jane-brands-inc,"Mojave Jane Brands Inc. is a Canadian-based company. Historically, the Company’s main activities have focused on the cannabis industry.   Currently going through a strategic review, Mojave Jane intends to generate shareholder value through recapitalization and investment in or the vending in of revenue generating assets."
350,Mongoose Mining Ltd.,MNG,Mining,,,CAD,29-Nov-19,https://thecse.com/en/listings/mining/mongoose-mining-ltd,Mongoose Mining Ltd. is engaged in the business of mineral exploration and the acquisition of mineral property assets in British Columbia. Its objective is to locate and develop economic precious and base metal properties of merit.
351,Montego Resources Inc. (formerly was MY/Montego Resources Inc. until 2020-07-07),MY.X,Mining,,,CAD,27-Nov-15,https://thecse.com/en/listings/mining/montego-resources-inc-(formerly-was-my/montego-resources-inc-until-2020-07-07),
352,Monterey Minerals Inc.,MREY,Mining,,,CAD,05-Feb-19,https://thecse.com/en/listings/mining/monterey-minerals-inc,"Monterey Minerals is a mineral exploration company focused on its 992 sq.km. of prospective ground on the eastern flank of the Pilbara Basin in Western Australia.  The Company has a total of sixteen tenements, including 140 sq. km. which abuts Pacton Gold’s tenement where gold-bearing conglomerates were identified.  The Company also owns the Cobalt Mountain Project (the “Project”), near Smithers, BC.  The Company’s NI 43-101, on SEDAR, notes historic sampling at the Project that returned mineralized showings of gold, silver, copper, zinc and cobalt."
353,Mota Ventures Corp.,MOTA,Life Sciences,Cannabis,CSE Composite,CAD,04-Dec-19,https://thecse.com/en/listings/life-sciences/mota-ventures-corp,"Mota Ventures Corp. is a Vancouver-based cannabis company with a wholly-owned subsidiary in Colombia that holds a license to cultivate and process non-psychoactive cannabis. The Company plans to complete a 60,000 square foot cultivation facility as well as a GMP EU compliant extraction lab which will produce CBD products for the Colombian and European markets."
354,Mountain Valley MD Holdings Inc.,MVMD,Life Sciences,,CSE Composite,CAD,02-Mar-20,https://thecse.com/en/listings/life-sciences/mountain-valley-md-holdings-inc,"Mountain Valley MD Holdings Inc., through its subsidiary Mountain Valley MD Inc. (“MVMD”) is building a health and wellness organization centred around the implementation of patented oral delivery technologies to create industry leading products that are sought out globally. MVMD’s proposition for delivering formulations that have rapid onset, with high bioavailability, with precision dosing technology, will be core to our success across key health and wellness categories."
355,MPV Exploration Inc,MPV,Mining,,,CAD,03-May-18,https://thecse.com/en/listings/mining/mpv-exploration-inc,
